direction,entry_time,entry_price,sl_price,tp_price,sl_distance,risk_amount,macd_line,macd_sig,exit_price,exit_time,result,pnl,capital,year
SELL,2024-01-08 22:00:00,2026.44,2029.91,2022.97,3.47,830.69,-0.0847,0.2477,2029.91,2024-01-09 01:45:00,SL,-830.69,26859.09,2024
SELL,2024-01-10 21:00:00,2021.08,2023.93,2018.23,2.85,805.77,-3.1173,-2.6465,2023.93,2024-01-10 21:30:00,SL,-805.77,26053.32,2024
BUY,2024-01-19 15:00:00,2035.72,2032.51,2038.93,3.21,781.6,3.3033,2.9337,2038.93,2024-01-19 15:30:00,TP,781.6,26834.92,2024
SELL,2024-01-19 17:00:00,2024.53,2032.25,2016.81,7.72,805.05,0.4619,2.1529,2016.81,2024-01-22 16:30:00,TP,805.05,27639.97,2024
BUY,2024-01-24 15:15:00,2035.79,2032.0,2039.58,3.79,829.2,2.1847,1.9832,2032.0,2024-01-24 15:30:00,SL,-829.2,26810.77,2024
BUY,2024-01-29 15:15:00,2031.2,2027.61,2034.79,3.59,804.32,0.7284,0.5801,2034.79,2024-01-29 15:30:00,TP,804.32,27615.09,2024
BUY,2024-02-02 10:00:00,2056.52,2054.52,2058.52,2.0,828.45,0.6166,0.611,2054.52,2024-02-02 10:45:00,SL,-828.45,26786.64,2024
SELL,2024-02-02 15:15:00,2052.27,2057.73,2046.81,5.46,803.6,-0.0439,0.1501,2046.81,2024-02-02 15:30:00,TP,803.6,27590.24,2024
BUY,2024-02-07 16:30:00,2040.44,2032.66,2048.22,7.78,827.71,1.1446,0.3208,2032.66,2024-02-08 05:45:00,SL,-827.71,26762.53,2024
BUY,2024-02-08 20:00:00,2033.55,2031.02,2036.08,2.53,802.88,1.0509,0.2491,2031.02,2024-02-09 10:15:00,SL,-802.88,25959.65,2024
BUY,2024-02-15 15:30:00,2003.26,1995.57,2010.95,7.69,778.79,2.2747,1.7006,1995.57,2024-02-16 15:30:00,SL,-778.79,25180.86,2024
